line_number: 0, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 320, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 323, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 324, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 325, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 326, True Label: DoS-HTTP_Flood, Predicted Label: BenignTraffic
line_number: 327, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 328, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 329, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 330, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 331, True Label: DoS-HTTP_Flood, Predicted Label: DDoS-ACK_Fragmentation
line_number: 332, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 333, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 334, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 335, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 337, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 338, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 339, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 340, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 341, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 342, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 343, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 344, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 345, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 346, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 348, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 349, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 350, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 352, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 353, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 354, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 355, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 356, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 357, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 358, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 361, True Label: Recon-PortScan, Predicted Label: Recon-OSScan
line_number: 363, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 360, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 361, True Label: Recon-PortScan, Predicted Label: Recon-OSScan
line_number: 362, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 363, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 364, True Label: Recon-PortScan, Predicted Label: Recon-HostDiscovery
line_number: 365, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 366, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 367, True Label: Recon-PortScan, Predicted Label: Recon-HostDiscovery
line_number: 368, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 369, True Label: Recon-PortScan, Predicted Label: DDoS-SYN_Flood
line_number: 370, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 371, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 372, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 373, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 374, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 375, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 376, True Label: Recon-PortScan, Predicted Label: DoS-SYN_Flood
line_number: 377, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 378, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 379, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 380, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 381, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 382, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 383, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 384, True Label: DDoS-UDP_Fragmentation, Predicted Label: Mirai-udpplain
line_number: 385, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 386, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 387, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 388, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 389, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 390, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 391, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 392, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 393, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 394, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 395, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 396, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 397, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 398, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 399, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 400, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 401, True Label: Recon-OSScan, Predicted Label: Recon-PortScan
line_number: 402, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 403, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 404, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 405, True Label: Recon-OSScan, Predicted Label: Recon-OSScan
line_number: 406, True Label: Recon-OSScan, Predicted Label: Recon-HostDiscovery
line_number: 407, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 408, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 409, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 410, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 411, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 412, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 413, True Label: Recon-OSScan, Predicted Label: Recon-OSScan
line_number: 414, True Label: Recon-OSScan, Predicted Label: Recon-HostDiscovery
line_number: 415, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 416, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 417, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 418, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 419, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 420, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 421, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 422, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 423, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 424, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 425, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-SlowLoris
line_number: 426, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 427, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 428, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 429, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 430, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 431, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 432, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 433, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 434, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 435, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 436, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 437, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 438, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 439, True Label: DDoS-HTTP_Flood, Predicted Label: Recon-PortScan
line_number: 440, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 441, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 442, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 443, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 444, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 445, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 446, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 447, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 448, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 449, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 451, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 452, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 453, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 454, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 455, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 456, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 457, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 458, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 459, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 460, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 461, True Label: DDoS-SlowLoris, Predicted Label: DDoS-HTTP_Flood
line_number: 462, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 463, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 464, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 465, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 466, True Label: DDoS-SlowLoris, Predicted Label: DDoS-HTTP_Flood
line_number: 467, True Label: DDoS-SlowLoris, Predicted Label: BenignTraffic
line_number: 468, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 469, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 470, True Label: DDoS-SlowLoris, Predicted Label: BenignTraffic
line_number: 471, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 472, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 473, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 474, True Label: DDoS-SlowLoris, Predicted Label: BenignTraffic
line_number: 475, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 476, True Label: DDoS-SlowLoris, Predicted Label: BenignTraffic
line_number: 477, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 478, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 479, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 480, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 481, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 482, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 483, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 484, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 485, True Label: Recon-PingSweep, Predicted Label: Recon-OSScan
line_number: 486, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 487, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 488, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 489, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 490, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 491, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 492, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 493, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 494, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 495, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 496, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 496, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
