Flow ID: 192.168.1.168-83.51.94.53-1123-0-17, True Label: UDP Flood, Predicted Label: Here are the classification results:
Flow ID: 192.168.1.211-192.168.1.1-51633-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-41826-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-53135-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-42641-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-45502-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-58931-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-56663-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-35865-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-39354-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-53866-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-56161-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-58898-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.211-192.168.1.1-41005-53-17, True Label: DNS Flood, Predicted Label: : DNS Flood**
Flow ID: 192.168.1.45-192.168.1.211-55400-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-54048-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.211-192.168.1.45-22-47644-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-48576-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-42084-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.212-60740-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.211-192.168.1.45-22-48576-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.211-192.168.1.45-22-55400-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.212-52400-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-39524-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.211-192.168.1.45-22-46512-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.212-54276-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-60078-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.212-192.168.1.45-22-52094-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-37882-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.212-59868-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.212-40834-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.212-60158-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-33986-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.211-48848-22-6, True Label: Dictionary Attack, Predicted Label: : Dictionary Attack**
Flow ID: 192.168.1.45-192.168.1.212-59094-898-6, True Label: OS Scan, Predicted Label: : OS Scan**
Flow ID: 192.168.1.45-192.168.1.162-59094-4321-6, True Label: OS Scan, Predicted Label: : OS Scan**
